run_id,wave_name,app_id,app_name,profile,environment,status,start_time_utc,end_time_utc,duration_minutes,fidelity_score,gate_overall_passed,blocked_reasons,approval_required,approved_by,security_artifacts_complete,rls_signoff_id,incident_reference,owner,notes
RUN-20260629-W1-001,Wave-1,W1-001,Sales Discovery Wave,fast,test,completed,2026-06-29T09:03:37Z,2026-06-29T09:03:40Z,0.04,100.0,true,,false,,true,,,analytics@company.com,Wave 1 execution passed test gate
RUN-20260629-W1-002,Wave-1,W1-002,HR Analytics Wave,strict,test,completed,2026-06-29T09:03:37Z,2026-06-29T09:03:40Z,0.04,100.0,true,,false,,true,RLS-W1-002,,hr-bi@company.com,Wave 1 execution passed test gate with strict profile
RUN-20260629-W1-003,Wave-1,W1-003,Enterprise Sales Wave,regulated,test,completed,2026-06-29T09:03:37Z,2026-06-29T09:03:40Z,0.04,100.0,true,,false,,true,RLS-W1-003,,sales-ops@company.com,Wave 1 execution passed test gate; validator warned on unknown [Year] measure reference
RUN-20260629-W2-001,Wave-2,W2-001,Sales Discovery Scale,fast,test,completed,2026-06-29T09:05:07Z,2026-06-29T09:05:08Z,0.05,100.0,true,,false,,true,,,analytics@company.com,Wave 2 execution passed test gate
RUN-20260629-W2-002,Wave-2,W2-002,HR Analytics Scale,strict,test,completed,2026-06-29T09:05:07Z,2026-06-29T09:05:08Z,0.05,100.0,true,,false,,true,RLS-W2-002,,hr-bi@company.com,Wave 2 execution passed test gate with strict profile
RUN-20260629-W2-003,Wave-2,W2-003,Enterprise Sales Scale,regulated,test,completed,2026-06-29T09:05:07Z,2026-06-29T09:05:08Z,0.05,100.0,true,,false,,true,RLS-W2-003,,sales-ops@company.com,Wave 2 execution passed test gate; validator warned on unknown [Year] measure reference
RUN-20260629-W3-001,Wave-3,W3-001,Enterprise Sales Regulated,regulated,test,completed,2026-06-29T09:30:38Z,2026-06-29T09:30:42Z,0.06,100.0,true,,false,,true,RLS-W3-001,,sales-ops@company.com,Wave 3 execution passed test gate; prod gate dry-run passed; validator warned on unknown [Year] measure reference
RUN-20260629-W3-002,Wave-3,W3-002,Sales Discovery Complex,regulated,test,completed,2026-06-29T09:30:38Z,2026-06-29T09:30:42Z,0.06,100.0,true,,false,,true,RLS-W3-002,,analytics-architecture@company.com,Wave 3 execution passed test gate with 5 RLS roles; prod gate dry-run passed; validator warnings on parenthesis and unknown references
RUN-20260629-W3-003,Wave-3,W3-003,Downloaded Sales Integration,strict,test,completed,2026-06-29T09:30:38Z,2026-06-29T09:30:42Z,0.06,100.0,true,,false,,true,RLS-W3-003,,dataops@company.com,Wave 3 execution passed test gate with no validator warnings; prod gate dry-run passed
RUN-20260629-W3P-001,Wave-3,W3-001,Enterprise Sales Regulated,regulated,prod,completed,2026-06-29T09:43:18Z,2026-06-29T09:43:22Z,0.06,100.0,true,,false,,true,RLS-W3-001,,sales-ops@company.com,Wave 3 production execution passed; validator warned on unknown [Year] measure reference
RUN-20260629-W3P-002,Wave-3,W3-002,Sales Discovery Complex,regulated,prod,completed,2026-06-29T09:43:18Z,2026-06-29T09:43:22Z,0.06,100.0,true,,false,,true,RLS-W3-002,,analytics-architecture@company.com,Wave 3 production execution passed with 5 RLS roles; validator warnings on parenthesis and unknown references
RUN-20260629-W3P-003,Wave-3,W3-003,Downloaded Sales Integration,strict,prod,completed,2026-06-29T09:43:18Z,2026-06-29T09:43:22Z,0.06,100.0,true,,false,,true,RLS-W3-003,,dataops@company.com,Wave 3 production execution passed with no validator warnings
