SaleID,CustomerID,ProductID,OrderDate,Amount,Quantity
S001,C001,P001,2024-01-15,1299.99,1
S002,C002,P003,2024-01-18,45.50,5
S003,C003,P002,2024-02-01,89.90,2
S004,C001,P004,2024-02-10,150.00,3
S005,C004,P001,2024-02-14,1299.99,1
S006,C002,P005,2024-03-01,29.99,10
S007,C005,P003,2024-03-05,45.50,3
S008,C003,P006,2024-03-12,199.00,1
S009,C001,P002,2024-03-20,89.90,4
S010,C006,P004,2024-04-01,150.00,2
S011,C004,P007,2024-04-08,75.00,6
S012,C002,P001,2024-04-15,1299.99,1
S013,C007,P008,2024-05-01,12.99,20
S014,C005,P005,2024-05-10,29.99,8
S015,C003,P003,2024-05-18,45.50,4
S016,C008,P006,2024-06-01,199.00,2
S017,C001,P009,2024-06-12,349.99,1
S018,C006,P002,2024-06-20,89.90,3
S019,C004,P010,2024-07-01,59.99,5
S020,C009,P001,2024-07-15,1299.99,1
S021,C002,P007,2024-07-22,75.00,4
S022,C007,P004,2024-08-01,150.00,2
S023,C010,P008,2024-08-10,12.99,15
S024,C005,P009,2024-08-18,349.99,1
S025,C003,P010,2024-09-01,59.99,7
S026,C008,P003,2024-09-10,45.50,6
S027,C001,P005,2024-09-20,29.99,12
S028,C006,P006,2024-10-01,199.00,1
S029,C009,P002,2024-10-12,89.90,3
S030,C004,P001,2024-10-20,1299.99,1
